task,support_threshold,gini_threshold,challenger,runs,false_certification_rate,safe_coverage,safe_rate,continue_rate,abstain_rate,mean_cost,mean_repair_gain,mean_cumulative_recall
requests,0.6,0.9,random,200,0.0,,0.0,0.995,0.005,2737.025,45.535,0.2568288590604026
requests,0.6,0.9,residual_potential,200,0.0,,0.0,1.0,0.0,3262.0,177.0,0.697986577181208
requests,0.7,0.5,free_search_continuation,200,0.0,,0.0,1.0,0.0,3376.475,126.415,0.528238255033557
requests,0.7,0.5,high_potential,200,0.0,,0.0,1.0,0.0,3262.0,177.0,0.697986577181208
requests,0.7,0.5,low_discovery,200,0.0,,0.0,1.0,0.0,2245.0,106.0,0.4597315436241611
requests,0.7,0.5,low_exposure,200,0.0,,0.0,1.0,0.0,2245.0,106.0,0.4597315436241611
requests,0.7,0.5,random,200,0.0,,0.0,0.995,0.005,2737.025,45.535,0.2568288590604026
requests,0.7,0.5,residual_potential,200,0.0,,0.0,1.0,0.0,3262.0,177.0,0.697986577181208
requests,0.7,0.6,free_search_continuation,200,0.0,,0.0,1.0,0.0,3376.475,126.415,0.528238255033557
requests,0.7,0.6,high_potential,200,0.0,,0.0,1.0,0.0,3262.0,177.0,0.697986577181208
requests,0.7,0.6,low_discovery,200,0.0,,0.0,1.0,0.0,2245.0,106.0,0.4597315436241611
requests,0.7,0.6,low_exposure,200,0.0,,0.0,1.0,0.0,2245.0,106.0,0.4597315436241611
requests,0.7,0.6,random,200,0.0,,0.0,0.995,0.005,2737.025,45.535,0.2568288590604026
requests,0.7,0.6,residual_potential,200,0.0,,0.0,1.0,0.0,3262.0,177.0,0.697986577181208
requests,0.7,0.7,free_search_continuation,200,0.0,,0.0,1.0,0.0,3376.475,126.415,0.528238255033557
requests,0.7,0.7,high_potential,200,0.0,,0.0,1.0,0.0,3262.0,177.0,0.697986577181208
requests,0.7,0.7,low_discovery,200,0.0,,0.0,1.0,0.0,2245.0,106.0,0.4597315436241611
requests,0.7,0.7,low_exposure,200,0.0,,0.0,1.0,0.0,2245.0,106.0,0.4597315436241611
requests,0.7,0.7,random,200,0.0,,0.0,0.995,0.005,2737.025,45.535,0.2568288590604026
requests,0.7,0.7,residual_potential,200,0.0,,0.0,1.0,0.0,3262.0,177.0,0.697986577181208
requests,0.7,0.8,free_search_continuation,200,0.0,,0.0,1.0,0.0,3376.475,126.415,0.528238255033557
requests,0.7,0.8,high_potential,200,0.0,,0.0,1.0,0.0,3262.0,177.0,0.697986577181208
requests,0.7,0.8,low_discovery,200,0.0,,0.0,1.0,0.0,2245.0,106.0,0.4597315436241611
requests,0.7,0.8,low_exposure,200,0.0,,0.0,1.0,0.0,2245.0,106.0,0.4597315436241611
requests,0.7,0.8,random,200,0.0,,0.0,0.995,0.005,2737.025,45.535,0.2568288590604026
requests,0.7,0.8,residual_potential,200,0.0,,0.0,1.0,0.0,3262.0,177.0,0.697986577181208
requests,0.7,0.9,free_search_continuation,200,0.0,,0.0,1.0,0.0,3376.475,126.415,0.528238255033557
requests,0.7,0.9,high_potential,200,0.0,,0.0,1.0,0.0,3262.0,177.0,0.697986577181208
requests,0.7,0.9,low_discovery,200,0.0,,0.0,1.0,0.0,2245.0,106.0,0.4597315436241611
requests,0.7,0.9,low_exposure,200,0.0,,0.0,1.0,0.0,2245.0,106.0,0.4597315436241611
requests,0.7,0.9,random,200,0.0,,0.0,0.995,0.005,2737.025,45.535,0.2568288590604026
requests,0.7,0.9,residual_potential,200,0.0,,0.0,1.0,0.0,3262.0,177.0,0.697986577181208
requests,0.75,0.5,free_search_continuation,200,0.0,,0.0,1.0,0.0,3376.475,126.415,0.528238255033557
requests,0.75,0.5,high_potential,200,0.0,,0.0,1.0,0.0,3262.0,177.0,0.697986577181208
requests,0.75,0.5,low_discovery,200,0.0,,0.0,1.0,0.0,2245.0,106.0,0.4597315436241611
requests,0.75,0.5,low_exposure,200,0.0,,0.0,1.0,0.0,2245.0,106.0,0.4597315436241611
requests,0.75,0.5,random,200,0.0,,0.0,0.995,0.005,2737.025,45.535,0.2568288590604026
requests,0.75,0.5,residual_potential,200,0.0,,0.0,1.0,0.0,3262.0,177.0,0.697986577181208
requests,0.75,0.6,free_search_continuation,200,0.0,,0.0,1.0,0.0,3376.475,126.415,0.528238255033557
requests,0.75,0.6,high_potential,200,0.0,,0.0,1.0,0.0,3262.0,177.0,0.697986577181208
requests,0.75,0.6,low_discovery,200,0.0,,0.0,1.0,0.0,2245.0,106.0,0.4597315436241611
requests,0.75,0.6,low_exposure,200,0.0,,0.0,1.0,0.0,2245.0,106.0,0.4597315436241611
requests,0.75,0.6,random,200,0.0,,0.0,0.995,0.005,2737.025,45.535,0.2568288590604026
requests,0.75,0.6,residual_potential,200,0.0,,0.0,1.0,0.0,3262.0,177.0,0.697986577181208
requests,0.75,0.7,free_search_continuation,200,0.0,,0.0,1.0,0.0,3376.475,126.415,0.528238255033557
requests,0.75,0.7,high_potential,200,0.0,,0.0,1.0,0.0,3262.0,177.0,0.697986577181208
requests,0.75,0.7,low_discovery,200,0.0,,0.0,1.0,0.0,2245.0,106.0,0.4597315436241611
requests,0.75,0.7,low_exposure,200,0.0,,0.0,1.0,0.0,2245.0,106.0,0.4597315436241611
requests,0.75,0.7,random,200,0.0,,0.0,0.995,0.005,2737.025,45.535,0.2568288590604026
requests,0.75,0.7,residual_potential,200,0.0,,0.0,1.0,0.0,3262.0,177.0,0.697986577181208
requests,0.75,0.8,free_search_continuation,200,0.0,,0.0,1.0,0.0,3376.475,126.415,0.528238255033557
requests,0.75,0.8,high_potential,200,0.0,,0.0,1.0,0.0,3262.0,177.0,0.697986577181208
requests,0.75,0.8,low_discovery,200,0.0,,0.0,1.0,0.0,2245.0,106.0,0.4597315436241611
requests,0.75,0.8,low_exposure,200,0.0,,0.0,1.0,0.0,2245.0,106.0,0.4597315436241611
requests,0.75,0.8,random,200,0.0,,0.0,0.995,0.005,2737.025,45.535,0.2568288590604026
requests,0.75,0.8,residual_potential,200,0.0,,0.0,1.0,0.0,3262.0,177.0,0.697986577181208
requests,0.75,0.9,free_search_continuation,200,0.0,,0.0,1.0,0.0,3376.475,126.415,0.528238255033557
requests,0.75,0.9,high_potential,200,0.0,,0.0,1.0,0.0,3262.0,177.0,0.697986577181208
requests,0.75,0.9,low_discovery,200,0.0,,0.0,1.0,0.0,2245.0,106.0,0.4597315436241611
requests,0.75,0.9,low_exposure,200,0.0,,0.0,1.0,0.0,2245.0,106.0,0.4597315436241611
requests,0.75,0.9,random,200,0.0,,0.0,0.995,0.005,2737.025,45.535,0.2568288590604026
requests,0.75,0.9,residual_potential,200,0.0,,0.0,1.0,0.0,3262.0,177.0,0.697986577181208
requests,0.8,0.5,free_search_continuation,200,0.0,,0.0,1.0,0.0,3376.475,126.415,0.528238255033557
requests,0.8,0.5,high_potential,200,0.0,,0.0,1.0,0.0,3262.0,177.0,0.697986577181208
requests,0.8,0.5,low_discovery,200,0.0,,0.0,1.0,0.0,2245.0,106.0,0.4597315436241611
requests,0.8,0.5,low_exposure,200,0.0,,0.0,1.0,0.0,2245.0,106.0,0.4597315436241611
requests,0.8,0.5,random,200,0.0,,0.0,0.995,0.005,2737.025,45.535,0.2568288590604026
requests,0.8,0.5,residual_potential,200,0.0,,0.0,1.0,0.0,3262.0,177.0,0.697986577181208
requests,0.8,0.6,free_search_continuation,200,0.0,,0.0,1.0,0.0,3376.475,126.415,0.528238255033557
requests,0.8,0.6,high_potential,200,0.0,,0.0,1.0,0.0,3262.0,177.0,0.697986577181208
requests,0.8,0.6,low_discovery,200,0.0,,0.0,1.0,0.0,2245.0,106.0,0.4597315436241611
requests,0.8,0.6,low_exposure,200,0.0,,0.0,1.0,0.0,2245.0,106.0,0.4597315436241611
requests,0.8,0.6,random,200,0.0,,0.0,0.995,0.005,2737.025,45.535,0.2568288590604026
requests,0.8,0.6,residual_potential,200,0.0,,0.0,1.0,0.0,3262.0,177.0,0.697986577181208
requests,0.8,0.7,free_search_continuation,200,0.0,,0.0,1.0,0.0,3376.475,126.415,0.528238255033557
requests,0.8,0.7,high_potential,200,0.0,,0.0,1.0,0.0,3262.0,177.0,0.697986577181208
requests,0.8,0.7,low_discovery,200,0.0,,0.0,1.0,0.0,2245.0,106.0,0.4597315436241611
requests,0.8,0.7,low_exposure,200,0.0,,0.0,1.0,0.0,2245.0,106.0,0.4597315436241611
requests,0.8,0.7,random,200,0.0,,0.0,0.995,0.005,2737.025,45.535,0.2568288590604026
requests,0.8,0.7,residual_potential,200,0.0,,0.0,1.0,0.0,3262.0,177.0,0.697986577181208
requests,0.8,0.8,free_search_continuation,200,0.0,,0.0,1.0,0.0,3376.475,126.415,0.528238255033557
requests,0.8,0.8,high_potential,200,0.0,,0.0,1.0,0.0,3262.0,177.0,0.697986577181208
requests,0.8,0.8,low_discovery,200,0.0,,0.0,1.0,0.0,2245.0,106.0,0.4597315436241611
requests,0.8,0.8,low_exposure,200,0.0,,0.0,1.0,0.0,2245.0,106.0,0.4597315436241611
requests,0.8,0.8,random,200,0.0,,0.0,0.995,0.005,2737.025,45.535,0.2568288590604026
requests,0.8,0.8,residual_potential,200,0.0,,0.0,1.0,0.0,3262.0,177.0,0.697986577181208
requests,0.8,0.9,free_search_continuation,200,0.0,,0.0,1.0,0.0,3376.475,126.415,0.528238255033557
requests,0.8,0.9,high_potential,200,0.0,,0.0,1.0,0.0,3262.0,177.0,0.697986577181208
requests,0.8,0.9,low_discovery,200,0.0,,0.0,1.0,0.0,2245.0,106.0,0.4597315436241611
requests,0.8,0.9,low_exposure,200,0.0,,0.0,1.0,0.0,2245.0,106.0,0.4597315436241611
requests,0.8,0.9,random,200,0.0,,0.0,0.995,0.005,2737.025,45.535,0.2568288590604026
requests,0.8,0.9,residual_potential,200,0.0,,0.0,1.0,0.0,3262.0,177.0,0.697986577181208
requests,0.9,0.5,free_search_continuation,200,0.0,,0.0,1.0,0.0,3376.475,126.415,0.528238255033557
requests,0.9,0.5,high_potential,200,0.0,,0.0,1.0,0.0,3262.0,177.0,0.697986577181208
requests,0.9,0.5,low_discovery,200,0.0,,0.0,1.0,0.0,2245.0,106.0,0.4597315436241611
requests,0.9,0.5,low_exposure,200,0.0,,0.0,1.0,0.0,2245.0,106.0,0.4597315436241611
requests,0.9,0.5,random,200,0.0,,0.0,0.995,0.005,2737.025,45.535,0.2568288590604026
requests,0.9,0.5,residual_potential,200,0.0,,0.0,1.0,0.0,3262.0,177.0,0.697986577181208
requests,0.9,0.6,free_search_continuation,200,0.0,,0.0,1.0,0.0,3376.475,126.415,0.528238255033557
requests,0.9,0.6,high_potential,200,0.0,,0.0,1.0,0.0,3262.0,177.0,0.697986577181208
requests,0.9,0.6,low_discovery,200,0.0,,0.0,1.0,0.0,2245.0,106.0,0.4597315436241611
requests,0.9,0.6,low_exposure,200,0.0,,0.0,1.0,0.0,2245.0,106.0,0.4597315436241611
requests,0.9,0.6,random,200,0.0,,0.0,0.995,0.005,2737.025,45.535,0.2568288590604026
requests,0.9,0.6,residual_potential,200,0.0,,0.0,1.0,0.0,3262.0,177.0,0.697986577181208
requests,0.9,0.7,free_search_continuation,200,0.0,,0.0,1.0,0.0,3376.475,126.415,0.528238255033557
requests,0.9,0.7,high_potential,200,0.0,,0.0,1.0,0.0,3262.0,177.0,0.697986577181208
requests,0.9,0.7,low_discovery,200,0.0,,0.0,1.0,0.0,2245.0,106.0,0.4597315436241611
requests,0.9,0.7,low_exposure,200,0.0,,0.0,1.0,0.0,2245.0,106.0,0.4597315436241611
requests,0.9,0.7,random,200,0.0,,0.0,0.995,0.005,2737.025,45.535,0.2568288590604026
requests,0.9,0.7,residual_potential,200,0.0,,0.0,1.0,0.0,3262.0,177.0,0.697986577181208
requests,0.9,0.8,free_search_continuation,200,0.0,,0.0,1.0,0.0,3376.475,126.415,0.528238255033557
requests,0.9,0.8,high_potential,200,0.0,,0.0,1.0,0.0,3262.0,177.0,0.697986577181208
requests,0.9,0.8,low_discovery,200,0.0,,0.0,1.0,0.0,2245.0,106.0,0.4597315436241611
requests,0.9,0.8,low_exposure,200,0.0,,0.0,1.0,0.0,2245.0,106.0,0.4597315436241611
requests,0.9,0.8,random,200,0.0,,0.0,0.995,0.005,2737.025,45.535,0.2568288590604026
requests,0.9,0.8,residual_potential,200,0.0,,0.0,1.0,0.0,3262.0,177.0,0.697986577181208
requests,0.9,0.9,free_search_continuation,200,0.0,,0.0,1.0,0.0,3376.475,126.415,0.528238255033557
requests,0.9,0.9,high_potential,200,0.0,,0.0,1.0,0.0,3262.0,177.0,0.697986577181208
requests,0.9,0.9,low_discovery,200,0.0,,0.0,1.0,0.0,2245.0,106.0,0.4597315436241611
requests,0.9,0.9,low_exposure,200,0.0,,0.0,1.0,0.0,2245.0,106.0,0.4597315436241611
requests,0.9,0.9,random,200,0.0,,0.0,0.995,0.005,2737.025,45.535,0.2568288590604026
requests,0.9,0.9,residual_potential,200,0.0,,0.0,1.0,0.0,3262.0,177.0,0.697986577181208
urllib3,0.5,0.5,free_search_continuation,200,0.0,,0.0,1.0,0.0,4708.88,171.41,0.4383547925608012
urllib3,0.5,0.5,high_potential,200,0.0,,0.0,1.0,0.0,4386.0,275.0,0.586552217453505
urllib3,0.5,0.5,low_exposure,200,0.0,,0.0,1.0,0.0,5550.0,157.0,0.4177396280400573
urllib3,0.5,0.5,random,200,0.0,,0.0,0.99,0.01,4225.245,92.525,0.3255007153075822
urllib3,0.5,0.5,residual_potential,200,0.0,,0.0,1.0,0.0,5289.0,329.0,0.6638054363376252
urllib3,0.5,0.6,free_search_continuation,200,0.0,,0.0,1.0,0.0,4708.88,171.41,0.4383547925608012
urllib3,0.5,0.6,high_potential,200,0.0,,0.0,1.0,0.0,4386.0,275.0,0.586552217453505
urllib3,0.5,0.6,low_exposure,200,0.0,,0.0,1.0,0.0,5550.0,157.0,0.4177396280400573
urllib3,0.5,0.6,random,200,0.0,,0.0,0.99,0.01,4225.245,92.525,0.3255007153075822
urllib3,0.5,0.6,residual_potential,200,0.0,,0.0,1.0,0.0,5289.0,329.0,0.6638054363376252
urllib3,0.5,0.7,free_search_continuation,200,0.0,,0.0,1.0,0.0,4708.88,171.41,0.4383547925608012
urllib3,0.5,0.7,high_potential,200,0.0,,0.0,1.0,0.0,4386.0,275.0,0.586552217453505
urllib3,0.5,0.7,low_exposure,200,0.0,,0.0,1.0,0.0,5550.0,157.0,0.4177396280400573
urllib3,0.5,0.7,random,200,0.0,,0.0,0.99,0.01,4225.245,92.525,0.3255007153075822
urllib3,0.5,0.7,residual_potential,200,0.0,,0.0,1.0,0.0,5289.0,329.0,0.6638054363376252
urllib3,0.5,0.8,free_search_continuation,200,0.0,,0.0,1.0,0.0,4708.88,171.41,0.4383547925608012
urllib3,0.5,0.8,high_potential,200,0.0,,0.0,1.0,0.0,4386.0,275.0,0.586552217453505
urllib3,0.5,0.8,low_exposure,200,0.0,,0.0,1.0,0.0,5550.0,157.0,0.4177396280400573
urllib3,0.5,0.8,random,200,0.0,,0.0,0.99,0.01,4225.245,92.525,0.3255007153075822
urllib3,0.5,0.8,residual_potential,200,0.0,,0.0,1.0,0.0,5289.0,329.0,0.6638054363376252
urllib3,0.5,0.9,free_search_continuation,200,0.0,,0.0,1.0,0.0,4708.88,171.41,0.4383547925608012
urllib3,0.5,0.9,high_potential,200,0.0,,0.0,1.0,0.0,4386.0,275.0,0.586552217453505
urllib3,0.5,0.9,low_exposure,200,0.0,,0.0,1.0,0.0,5550.0,157.0,0.4177396280400573
urllib3,0.5,0.9,random,200,0.0,,0.0,0.99,0.01,4225.245,92.525,0.3255007153075822
urllib3,0.5,0.9,residual_potential,200,0.0,,0.0,1.0,0.0,5289.0,329.0,0.6638054363376252
urllib3,0.6,0.5,free_search_continuation,200,0.0,,0.0,1.0,0.0,4708.88,171.41,0.4383547925608012
urllib3,0.6,0.5,high_potential,200,0.0,,0.0,1.0,0.0,4386.0,275.0,0.586552217453505
urllib3,0.6,0.5,low_exposure,200,0.0,,0.0,1.0,0.0,5550.0,157.0,0.4177396280400573
urllib3,0.6,0.5,random,200,0.0,,0.0,0.99,0.01,4225.245,92.525,0.3255007153075822
urllib3,0.6,0.5,residual_potential,200,0.0,,0.0,1.0,0.0,5289.0,329.0,0.6638054363376252
urllib3,0.6,0.6,free_search_continuation,200,0.0,,0.0,1.0,0.0,4708.88,171.41,0.4383547925608012
urllib3,0.6,0.6,high_potential,200,0.0,,0.0,1.0,0.0,4386.0,275.0,0.586552217453505
urllib3,0.6,0.6,low_exposure,200,0.0,,0.0,1.0,0.0,5550.0,157.0,0.4177396280400573
urllib3,0.6,0.6,random,200,0.0,,0.0,0.99,0.01,4225.245,92.525,0.3255007153075822
urllib3,0.6,0.6,residual_potential,200,0.0,,0.0,1.0,0.0,5289.0,329.0,0.6638054363376252
urllib3,0.6,0.7,free_search_continuation,200,0.0,,0.0,1.0,0.0,4708.88,171.41,0.4383547925608012
urllib3,0.6,0.7,high_potential,200,0.0,,0.0,1.0,0.0,4386.0,275.0,0.586552217453505
urllib3,0.6,0.7,low_exposure,200,0.0,,0.0,1.0,0.0,5550.0,157.0,0.4177396280400573
urllib3,0.6,0.7,random,200,0.0,,0.0,0.99,0.01,4225.245,92.525,0.3255007153075822
urllib3,0.6,0.7,residual_potential,200,0.0,,0.0,1.0,0.0,5289.0,329.0,0.6638054363376252
urllib3,0.6,0.8,free_search_continuation,200,0.0,,0.0,1.0,0.0,4708.88,171.41,0.4383547925608012
urllib3,0.6,0.8,high_potential,200,0.0,,0.0,1.0,0.0,4386.0,275.0,0.586552217453505
urllib3,0.6,0.8,low_exposure,200,0.0,,0.0,1.0,0.0,5550.0,157.0,0.4177396280400573
urllib3,0.6,0.8,random,200,0.0,,0.0,0.99,0.01,4225.245,92.525,0.3255007153075822
urllib3,0.6,0.8,residual_potential,200,0.0,,0.0,1.0,0.0,5289.0,329.0,0.6638054363376252
urllib3,0.6,0.9,free_search_continuation,200,0.0,,0.0,1.0,0.0,4708.88,171.41,0.4383547925608012
urllib3,0.6,0.9,high_potential,200,0.0,,0.0,1.0,0.0,4386.0,275.0,0.586552217453505
urllib3,0.6,0.9,low_exposure,200,0.0,,0.0,1.0,0.0,5550.0,157.0,0.4177396280400573
urllib3,0.6,0.9,random,200,0.0,,0.0,0.99,0.01,4225.245,92.525,0.3255007153075822
urllib3,0.6,0.9,residual_potential,200,0.0,,0.0,1.0,0.0,5289.0,329.0,0.6638054363376252
urllib3,0.7,0.5,free_search_continuation,200,0.0,,0.0,1.0,0.0,4708.88,171.41,0.4383547925608012
urllib3,0.7,0.5,high_potential,200,0.0,,0.0,1.0,0.0,4386.0,275.0,0.586552217453505
urllib3,0.7,0.5,low_exposure,200,0.0,,0.0,1.0,0.0,5550.0,157.0,0.4177396280400573
urllib3,0.7,0.5,random,200,0.0,,0.0,0.99,0.01,4225.245,92.525,0.3255007153075822
urllib3,0.7,0.5,residual_potential,200,0.0,,0.0,1.0,0.0,5289.0,329.0,0.6638054363376252
urllib3,0.7,0.6,free_search_continuation,200,0.0,,0.0,1.0,0.0,4708.88,171.41,0.4383547925608012
urllib3,0.7,0.6,high_potential,200,0.0,,0.0,1.0,0.0,4386.0,275.0,0.586552217453505
urllib3,0.7,0.6,low_exposure,200,0.0,,0.0,1.0,0.0,5550.0,157.0,0.4177396280400573
urllib3,0.7,0.6,random,200,0.0,,0.0,0.99,0.01,4225.245,92.525,0.3255007153075822
urllib3,0.7,0.6,residual_potential,200,0.0,,0.0,1.0,0.0,5289.0,329.0,0.6638054363376252
urllib3,0.7,0.7,free_search_continuation,200,0.0,,0.0,1.0,0.0,4708.88,171.41,0.4383547925608012
urllib3,0.7,0.7,high_potential,200,0.0,,0.0,1.0,0.0,4386.0,275.0,0.586552217453505
urllib3,0.7,0.7,low_exposure,200,0.0,,0.0,1.0,0.0,5550.0,157.0,0.4177396280400573
urllib3,0.7,0.7,random,200,0.0,,0.0,0.99,0.01,4225.245,92.525,0.3255007153075822
urllib3,0.7,0.7,residual_potential,200,0.0,,0.0,1.0,0.0,5289.0,329.0,0.6638054363376252
urllib3,0.7,0.8,free_search_continuation,200,0.0,,0.0,1.0,0.0,4708.88,171.41,0.4383547925608012
urllib3,0.7,0.8,high_potential,200,0.0,,0.0,1.0,0.0,4386.0,275.0,0.586552217453505
urllib3,0.7,0.8,low_exposure,200,0.0,,0.0,1.0,0.0,5550.0,157.0,0.4177396280400573
urllib3,0.7,0.8,random,200,0.0,,0.0,0.99,0.01,4225.245,92.525,0.3255007153075822
urllib3,0.7,0.8,residual_potential,200,0.0,,0.0,1.0,0.0,5289.0,329.0,0.6638054363376252
urllib3,0.7,0.9,free_search_continuation,200,0.0,,0.0,1.0,0.0,4708.88,171.41,0.4383547925608012
urllib3,0.7,0.9,high_potential,200,0.0,,0.0,1.0,0.0,4386.0,275.0,0.586552217453505
urllib3,0.7,0.9,low_exposure,200,0.0,,0.0,1.0,0.0,5550.0,157.0,0.4177396280400573
urllib3,0.7,0.9,random,200,0.0,,0.0,0.99,0.01,4225.245,92.525,0.3255007153075822
urllib3,0.7,0.9,residual_potential,200,0.0,,0.0,1.0,0.0,5289.0,329.0,0.6638054363376252
urllib3,0.75,0.5,free_search_continuation,200,0.0,,0.0,1.0,0.0,4708.88,171.41,0.4383547925608012
urllib3,0.75,0.5,high_potential,200,0.0,,0.0,1.0,0.0,4386.0,275.0,0.586552217453505
